Ref.Data,Citta,Zona,Address,Price,Dimension (m2),Floor,Ascensore,Rooms,Bathrooms,Build.Date,Stato,longitude,latitude
28/04/2023,Torino,Barriera di Milano,via Enrico Cavaglià 8,25000,40,0,0,2,1,1960,Buono / Abitabile,7.6948528,45.0971982
02/05/2023,Torino,Barriera di Milano,via Aosta 64,165000,110,9,1,4,1,1962,Ottimo / Ristrutturato,7.6938442,45.0867416
27/04/2023,Torino,Aurora,via Aosta 41,109000,78,1,1,3,1,1960,Ottimo / Ristrutturato,7.6921432,45.0860843
27/04/2023,Torino,Barriera di Milano,via Montanaro 50,79900,80,2,1,3,1,1970,Buono / Abitabile,7.6951984,45.0930404
28/04/2023,Torino,Barriera di Milano,corso Novara 47,40000,80,7,1,3,1,1955,Buono / Abitabile,7.6954923,45.0855452
27/04/2023,Torino,Regio Parco,corso Giulio Cesare,115000,85,5,0,2,1,1980,Buono / Abitabile,7.71119,45.1187164
27/04/2023,Torino,Barriera di Milano,via Monte Rosa 28,54900,50,2,0,3,1,1940,Buono / Abitabile,7.6942606,45.0883703
03/05/2023,Torino,Barriera di Milano,piazza Francesco Crispi 58,38000,47,3,0,2,1,1940,Buono / Abitabile,7.6891361,45.0896169
03/05/2023,Torino,Barriera di Milano,via Baltea 10,54900,78,0,0,3,1,1960,Buono / Abitabile,7.6907236,45.0909511
04/05/2023,Torino,Barriera di Milano,via Fossata 24,48000,50,3,0,2,1,1925,Buono / Abitabile,7.6880257,45.09391
26/04/2023,Torino,Rebaudengo,corso Giulio Cesare 205,55000,60,6,1,2,1,1970,Da ristrutturare,7.6990155,45.100603
26/04/2023,Torino,Rebaudengo,corso Giulio Cesare 299,165000,150,2,1,5,2,1965,Buono / Abitabile,7.7032719,45.1074142
26/04/2023,Torino,Barriera di Milano,via Sempione 78,85000,95,4,0,4,1,1950,Ottimo / Ristrutturato,7.6915941,45.0993917
04/05/2023,Torino,Rebaudengo,corso Vercelli 181,95000,95,8,1,4,1,1970,Da ristrutturare,7.693697,45.100741
27/04/2023,Torino,Quadrilatero Romano,via delle orfane 29,39000,18,4,0,1,1,1980,Ottimo / Ristrutturato,7.6804594,45.0773305
26/04/2023,Torino,Barriera di Milano,via Malone 27,59000,78,1,0,3,2,1907,Buono / Abitabile,7.6942499,45.0890035
25/04/2023,Torino,Barriera di Milano,via Malone 27,39000,35,1,0,2,1,1907,Buono / Abitabile,7.6942499,45.0890035
09/05/2023,Torino,Rebaudengo,piazza Conti di Rebaudengo 12,49000,50,3,1,2,1,1960,Buono / Abitabile,7.6958628,45.102839
24/04/2023,Torino,Aurora,via Antonio Cecchi 56,105000,92,1,1,3,1,1950,Ottimo / Ristrutturato,7.6800671,45.0882194
27/04/2023,Torino,Barriera di Milano,via Brandizzo,65000,75,1,1,3,1,1980,Buono / Abitabile,7.694818,45.0921211
08/05/2023,Torino,Aurora,corso Brescia,250000,90,3,1,3,1,1980,Nuovo / In costruzione,7.6876955,45.0829615
09/05/2023,Torino,Barriera di Milano,via Renato Martorelli 24,20000,25,0,0,1,1,1980,,7.6938275,45.0944114
27/04/2023,Torino,Aurora,via Vittorio Andreis 18//6,129000,70,1,1,3,1,1960,Buono / Abitabile,7.6805352,45.0805274
26/04/2023,Torino,Aurora,via Carlo Antonio Porporati 8,89000,45,4,1,2,1,1950,Buono / Abitabile,7.686804,45.0784216
26/04/2023,Torino,Aurora,Strada del Fortino 19,59000,60,3,0,3,1,1950,Da ristrutturare,7.6807124,45.0836399
03/05/2023,Torino,Barriera di Milano,via Baltea 10,33000,50,0,0,2,1,1950,Da ristrutturare,7.6907236,45.0909511
27/04/2023,Torino,Barriera di Milano,corso GIULIO CESARE  122,99000,110,5,1,4,1,1930,Buono / Abitabile,7.694538,45.0931846
03/05/2023,Torino,Barriera di Milano,via Baltea 16,59000,50,2,0,2,1,1940,Buono / Abitabile,7.6911999,45.090837
21/04/2023,Torino,Barriera di Milano,via Alessandro Scarlatti 31,59000,65,0,1,2,1,1970,Buono / Abitabile,7.6975578,45.0900572
21/04/2023,Torino,Aurora,Loft via Parma 11,98000,65,0,1,2,1,1950,Buono / Abitabile,,
03/05/2023,Torino,Aurora,via Parma 11,122000,75,3,1,3,1,1950,Buono / Abitabile,7.6907418,45.0809534
03/05/2023,Torino,Aurora,via Parma 11,125000,80,2,1,3,1,1950,Buono / Abitabile,7.6907418,45.0809534
03/05/2023,Torino,Aurora,via Parma 11,111000,81,1,1,3,1,1950,Buono / Abitabile,7.6907418,45.0809534
21/04/2023,Torino,Aurora,via Parma 11,126000,70,1,1,2,1,1950,Buono / Abitabile,7.6907418,45.0809534
21/04/2023,Torino,Aurora,via Parma 11,95000,60,2,1,2,1,1950,Buono / Abitabile,7.6907418,45.0809534
21/04/2023,Torino,Aurora,via Parma 11,90000,59,0,1,2,1,1950,Buono / Abitabile,7.6907418,45.0809534
28/04/2023,Torino,Barriera di Milano,via Jacopo Foroni 7,54900,75,2,0,3,1,1940,Buono / Abitabile,7.6956269,45.0895553
06/05/2023,Torino,Rebaudengo,via Nicola Porpora 29/12,82000,82,2,0,3,1,1955,Buono / Abitabile,7.696602,45.1003173
28/04/2023,Torino,Aurora,Lungo Dora Agrigento 77,120000,75,6,1,2,1,1960,Buono / Abitabile,7.6793131,45.0852797
02/05/2023,Torino,Barriera di Milano,via Candia 19,38000,47,4,0,2,1,1950,Buono / Abitabile,7.6976037,45.0894278
08/05/2023,Torino,Barriera di Milano,via Soana 17/d,120000,58,1,0,2,1,1901,Ottimo / Ristrutturato,7.6902981,45.0908546
06/05/2023,Torino,Barriera di Milano,via Lauro Rossi 39.,78000,98,1,1,4,1,1980,Da ristrutturare,7.6905189,45.0957094
26/04/2023,Torino,Barriera di Milano,corso Giulio Cesare 148,89000,75,6,1,3,1,1930,Buono / Abitabile,7.6960614,45.0955141
